Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
07/12/2020 16:18,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,28,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Back-end,PHP,"Go, JavaScript, SQL",Laravel,Web,,,,,,,,,,,,,,,,,,,"E-commerce, Media",Продуктова,до 1000,5 років,4 роки,2,4500,500,Отримую бонус щомісяця,
30/12/2020 02:47,"Так, працюю full-time",Київ,,Чоловік,35,Вища,НТУУ «КПІ»,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Manual QA,Не використовую,,,,,,,,,,,,,,,,"Fintech, Manufacturing, Інша",Аутсорсингова,до 50,2 роки,1 рік,2,700,0,"Ні, не отримую",
02/01/2021 16:52,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Жінка,26,Вища,Інший виш,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Manual QA,Не використовую,,,,,,,,,,,,,,,,Fintech,Продуктова,до 10 спеціалістів,1 рік,1 рік,1,700,75,Отримую бонус щороку,450
10/12/2020 10:40,"Так, працюю full-time",Київ,Віддалено,Чоловік,40,Вища,НТУУ «КПІ»,Upper-Intermediate,"Analyst (Business, Data, System)",,,,,,,,,,,,,,,,,,System Analyst,Senior,,,,,,Automotive,Аутсорсингова,понад 1000,10 і більше років,Пів року,05-Jul,3500,200,"Ні, не отримую",
12/12/2020 23:18,"Так, працюю full-time",Київ,Віддалено,Жінка,31,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Analyst (Business, Data, System)",,,,,,,,,,,,,,,,,,Data Analyst,Senior,,,,,,Big Data,Аутсорсингова,понад 1000,3 роки,Менше як 3 місяці,2,3500,1100,"Ні, не отримую",
13/12/2020 08:41,"Так, працюю full-time",Ужгород,Віддалено,Чоловік,27,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,Ruby,"JavaScript, SQL","React.js, Ruby on Rails, Vue.js",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Інша",Продуктова,до 10 спеціалістів,7 років,5 років,03-Apr,4500,0,"Ні, не отримую",
14/12/2020 18:29,"Так, працюю full-time",Львів,Віддалено,Чоловік,34,Дві вищих,ЛНУ ім. Франка,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Automation QA,Java,,,,,,,,,,,,,,,,"Big Data, Fintech, Media",Аутсорсингова,понад 1000,10 і більше років,1 рік,03-Apr,3040,400,Отримую бонус щороку,190
13/12/2020 09:58,"Так, працюю full-time",Київ,Віддалено,Чоловік,29,Вища,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,"Java, JavaScript, SQL","jQuery, Symfony",Web,,,,,,,,,,,,,,,,,,,"Cloud Computing, ERP, High Load Systems",Продуктова,до 50,7 років,Пів року,03-Apr,4500,0,"Отримую бонус за гарні показники роботи, але нерегулярно",
08/12/2020 18:40,"Так, працюю full-time",Київ,Віддалено,Чоловік,41,Дві вищих,Інший виш,Advanced,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Delivery Manager,Senior,,,,,,,,"High Load Systems, Інша",Аутсорсингова,до 1000,10 і більше років,3 роки,05-Jul,4750,0,"Ні, не отримую",
13/12/2020 14:06,"Так, працюю full-time",Київ,Віддалено,Чоловік,27,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"Groovy, Kotlin",Spring,Web,,,,,,,,,,,,,,,,,,,"E-commerce, High Load Systems",Аутстафінгова,до 200,5 років,2 роки,03-Apr,4500,400,"Отримую бонус за гарні показники роботи, але нерегулярно",500
13/12/2020 20:57,"Так, працюю full-time",Харків,Віддалено,Чоловік,31,Вища,СумДУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"Groovy, JavaScript","Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,"High Load Systems, Mobile, Telecom",Продуктова,до 200,6 років,1 рік,05-Jul,4500,400,"Ні, не отримую",
14/12/2020 14:59,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,28,Вища,НАУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,TypeScript,"Angular/Angular.js, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Fintech, Інша",Аутсорсингова,до 200,6 років,5 років,2,4500,300,"Ні, не отримую",
15/12/2020 00:59,"Так, працюю full-time",Київ,Віддалено,Чоловік,34,Дві вищих,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,C#/.NET,Не використовую,.NET,Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 10 спеціалістів,9 років,5 років,03-Apr,4500,500,Отримую бонус щороку,150
15/12/2020 15:27,"Так, працюю full-time",Київ,Віддалено,Чоловік,30,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,JavaScript,"Drupal, jQuery, React.js",Web,,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,понад 1000,9 років,2 роки,03-Apr,4500,350,"Ні, не отримую",
15/12/2020 21:28,"Ні, тимчасово не працюю",Одеса,Віддалено,Чоловік,36,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,TypeScript,"JavaScript, PHP, TypeScript","Node.js, React.js, Nest.js",Web,,,,,,,,,,,,,,,,,,,Media,Продуктова,до 1000,10 і більше років,8 років,05-Jul,4500,500,Отримую бонус щороку,4500
08/12/2020 16:07,"Так, працюю full-time",Київ,,Чоловік,36,Вища,ЧНУ ім. Петра Могили,Upper-Intermediate,"СTO, Director of Engineering, Program Director",,,,,,,,,,,,,,,,,,,,,,,,CTO,Fintech,Продуктова,до 200,10 і більше років,5 років,05-Jul,2700,0,"Ні, не отримую",0
16/12/2020 09:59,"Так, працюю full-time",Київ,В офісі,Чоловік,34,Вища,НМетАУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Mobile,Swift,Objective-C,,"Desktop, Mobile iOS",,,,,,,,,,,,,,,,,,,Mobile,Аутстафінгова,понад 1000,5 років,2 роки,03-Apr,4500,0,"Ні, не отримую",
17/12/2020 21:22,"Так, працюю full-time",Київ,Віддалено,Жінка,29,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,C#/.NET,C#/.NET,".NET, .NET Core, ASP.NET",Web,,,,,,,,,,,,,,,,,,,Medtech,Продуктова,до 50,8 років,1 рік,05-Jul,4500,0,"Ні, не отримую",0
18/12/2020 15:33,"Так, працюю full-time",Київ,,Чоловік,38,Вища,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,1c,1С,"1С, Python",,Інша,,,,,,,,,,,,,,,,,,,"E-commerce, ERP",Інша,понад 1000,10 і більше років,Пів року,03-Apr,4500,1000,"Ні, не отримую",
18/12/2020 20:43,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Чоловік,25,Вища,ОНПУ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,"Java, TypeScript","Angular/Angular.js, Node.js, React.js","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"E-commerce, Fintech",Аутсорсингова,до 200,5 років,5 років,1,4500,0,"Ні, не отримую",
31/12/2020 17:09,"Так, працюю full-time",Не Україна,Віддалено,Чоловік,24,Вища,НТУ «ХПІ»,Advanced,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Tech Lead,Automation QA,Java,,,,,,,,,,,,,,,,"Big Data, Cloud Computing, E-commerce",Аутсорсингова,до 1000,6 років,3 роки,03-Apr,8000,500,"Отримую бонус за гарні показники роботи, але нерегулярно",200
19/12/2020 19:25,"Так, працюю full-time",Київ,В офісі,Чоловік,28,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,C#/.NET,SQL,".NET, .NET Core, ASP.NET",Web,,,,,,,,,,,,,,,,,,,"Manufacturing, Medtech",Аутсорсингова,до 50,6 років,3 місяці,03-Apr,4500,0,"Ні, не отримую",
19/12/2020 21:45,"Так, працюю full-time",Київ,Віддалено,Чоловік,43,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,TypeScript,"JavaScript, Ruby",React.js,Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 200,10 і більше років,2 роки,05-Jul,4500,0,"Ні, не отримую",0
19/12/2020 23:09,"Так, працюю full-time",Київ,Віддалено,Чоловік,42,Вища,Інший виш,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,JavaScript,Java,Node.js,Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутстафінгова,до 200,10 і більше років,4 роки,2,4500,1400,"Отримую бонус за гарні показники роботи, але нерегулярно",600
20/12/2020 00:18,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,28,Середня,,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,Не використовую,"Angular/Angular.js, React.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,Gambling,Продуктова,до 200,5 років,Менше як 3 місяці,05-Jul,4500,500,Отримую бонус щомісяця,70
08/12/2020 22:12,"Так, працюю full-time",Київ,Віддалено,Чоловік,38,Вища,Інший виш,Upper-Intermediate,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Product Manager,Senior,,,,,,,,Cloud Computing,Продуктова,до 50,7 років,1 рік,8 і більше,4750,0,"Ні, не отримую",
21/12/2020 10:07,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,НАУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,TypeScript,JavaScript,Angular/Angular.js,"Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Media,Стартап,до 10 спеціалістів,6 років,3 місяці,03-Apr,4500,500,"Ні, не отримую",
16/12/2020 11:34,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Жінка,22,Вища,Інший виш,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,General QA,Java,,,,,,,,,,,,,,,,Insurance,Аутсорсингова,понад 1000,2 роки,2 роки,1,680,380,"Ні, не отримую",
21/12/2020 10:39,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,25,Вища,ХНУ [м. Хмельницький],Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,Ruby,"JavaScript, SQL","jQuery, React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,"E-commerce, High Load Systems",Аутстафінгова,до 50,5 років,1 рік,05-Jul,4500,1500,"Ні, не отримую",
18/12/2020 15:16,"Так, працюю full-time",Інше,Віддалено,Жінка,23,Вища,Інший виш,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Manual QA,Не використовую,,,,,,,,,,,,,,,,GameDev,Продуктова,до 1000,2 роки,2 роки,1,675,245,Отримую бонус щокварталу,330
21/12/2020 21:51,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,SQL,"Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,Fintech,Продуктова,до 200,10 і більше років,3 місяці,05-Jul,4500,0,"Ні, не отримую",
11/12/2020 09:13,"Так, працюю full-time",Чернівці,Віддалено,Чоловік,35,Вища,Інший виш,Advanced,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Project Manager,Middle,,,,,,,,Medtech,Аутсорсингова,понад 1000,5 років,4 роки,2,4750,500,Отримую бонус щороку,7000
22/12/2020 12:07,"Так, працюю full-time",Хмельницький,Віддалено,Чоловік,26,Вища,ХНУ [м. Хмельницький],Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,TypeScript,JavaScript,Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,Manufacturing,Аутсорсингова,до 200,6 років,6 років,2,4500,650,"Ні, не отримую",
23/12/2020 18:43,"Так, працюю full-time",Київ,Віддалено,Чоловік,28,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"Groovy, SQL","Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,6 років,Менше як 3 місяці,05-Jul,4500,1000,"Ні, не отримую",
24/12/2020 00:13,"Так, працюю full-time",Львів,Віддалено,Чоловік,39,Вища,ЖДТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,C,"Assembler, C#/.NET, C++",.NET Core,Microcontrollers/Embedded/IoT,,,,,,,,,,,,,,,,,,,"Embedded, Hardware, Machine Learning",Стартап,до 200,10 і більше років,Менше як 3 місяці,8 і більше,4500,1500,Отримую бонус щомісяця,500
24/12/2020 19:07,"Так, працюю full-time",Львів,Віддалено,Чоловік,28,Вища,НУ «Львівська політехніка»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,Scala,"Hadoop, Spring",Web,,,,,,,,,,,,,,,,,,,Automotive,Аутсорсингова,понад 1000,7 років,2 роки,03-Apr,4500,0,"Ні, не отримую",
25/12/2020 11:02,"Так, працюю full-time",Київ,В офісі,Чоловік,32,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"JavaScript, SQL, TypeScript","Hibernate, React.js, Spring",Web,,,,,,,,,,,,,,,,,,,Fintech,Стартап,до 50,5 років,3 місяці,03-Apr,4500,1200,"Ні, не отримую",
26/12/2020 00:01,"Так, працюю full-time",Київ,Віддалено,Чоловік,47,Дві вищих,КНУ ім. Шевченка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"JavaScript, SQL","Hibernate, jQuery, Spring",Web,,,,,,,,,,,,,,,,,,,Fintech,Продуктова,до 10 спеціалістів,10 і більше років,3 роки,2,4500,980,Отримую бонус щороку,4500
26/12/2020 20:42,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,30,Вища,ОНАЗ ім. Попова,Elementary,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,TypeScript,React.js,"Web, Desktop",,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 1000,9 років,2 роки,03-Apr,4500,0,"Отримую бонус за гарні показники роботи, але нерегулярно",1000
07/12/2020 10:13,"Так, працюю full-time",Київ,В офісі,Чоловік,39,Вища,ВНУ ім. Даля,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Automation QA,Java,,,,,,,,,,,,,,,,"Cloud Computing, Internet of Things, Security",Продуктова,понад 1000,6 років,2 роки,2,3000,500,"Ні, не отримую",
28/12/2020 13:27,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,30,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,Не використовую,Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,Fintech,Продуктова,до 50,8 років,2 роки,05-Jul,4500,700,"Ні, не отримую",
28/12/2020 18:35,"Так, працюю full-time",Харків,Віддалено,Жінка,35,Дві вищих,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,SQL,"Hibernate, Play, Spring",Web,,,,,,,,,,,,,,,,,,,Medtech,Аутстафінгова,до 1000,8 років,1 рік,03-Apr,4500,0,"Ні, не отримую",
29/12/2020 01:45,"Так, працюю full-time",Київ,Віддалено,Чоловік,35,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,Java,React.js,Web,,,,,,,,,,,,,,,,,,,Automotive,Продуктова,до 200,7 років,2 роки,03-Apr,4500,400,Отримую бонус щороку,1200
29/12/2020 09:19,"Так, працюю full-time",Київ,Віддалено,Чоловік,38,Ще студент,НАУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,"SQL, TypeScript","Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Cloud Computing,Продуктова,до 50,4 роки,Пів року,03-Apr,4500,0,Отримую бонус щороку,4500
12/12/2020 13:56,"Так, працюю full-time",Львів,Віддалено,Чоловік,31,Вища,НУ «Львівська політехніка»,Upper-Intermediate,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Delivery Manager,Senior,,,,,,,,Automotive,Аутсорсингова,понад 1000,9 років,4 роки,03-Apr,4750,500,"Отримую бонус за гарні показники роботи, але нерегулярно",500
30/12/2020 00:12,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Жінка,27,Вища,Інший виш,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Manual QA,Не використовую,,,,,,,,,,,,,,,,"Big Data, E-commerce, Інша",Стартап,до 50,1 рік,Менше як 3 місяці,1,660,-,"Ні, не отримую",
29/12/2020 15:15,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Чоловік,28,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,PHP,,,,,,,,,,,,,,,,,,,,,Media,Аутстафінгова,до 200,8 років,Менше як 3 місяці,05-Jul,4500,0,"Ні, не отримую",0
29/12/2020 17:08,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,31,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"JavaScript, SQL","Hibernate, React.js, Spring",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Telecom",Аутсорсингова,до 50,8 років,2 роки,03-Apr,4500,500,Отримую бонус щокварталу,1000
30/12/2020 22:18,"Так, працюю full-time",Харків,Віддалено,Чоловік,34,Середня,,Advanced,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Delivery Manager,,,,,,,,,"Legal, Machine Learning",Аутстафінгова,понад 1000,10 і більше років,Пів року,8 і більше,4750,0,"Отримую бонус за гарні показники роботи, але нерегулярно",150
29/12/2020 17:25,"Так, працюю full-time",Харків,Віддалено,Чоловік,33,Кандидат наук,НТУ «ХПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"JavaScript, SQL, TypeScript",,Web,,,,,,,,,,,,,,,,,,,Logistics,Аутстафінгова,до 200,10 і більше років,Пів року,05-Jul,4500,0,"Ні, не отримую",
29/12/2020 20:03,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,40,Вища,ЖДТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,"JavaScript, SQL","Laravel, Symfony, Magento",Web,,,,,,,,,,,,,,,,,,,E-commerce,Інша,до 50,8 років,4 роки,2,4500,200,Отримую бонус щомісяця,400
02/01/2021 19:26,"Так, працюю full-time",Суми,В офісі,Жінка,21,Вища,СумДУ,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Intern/Trainee,Manual QA,Не використовую,,,,,,,,,,,,,,,,"GameDev, Mobile, Інша",Аутсорсингова,до 1000,Менше як 3 місяці,Менше як 3 місяці,1,177,,"Ні, не отримую",
07/12/2020 10:45,"Так, працюю full-time",Запоріжжя,Віддалено,Чоловік,30,Вища,Інший виш,Intermediate,Designer,,,,,,,,,,UI/UX Designer,Senior,,,,,,,,,,,,,,"AR/VR, Hardware, Machine Learning",Продуктова,до 10 спеціалістів,10 і більше років,1 рік,8 і більше,3000,1000,"Ні, не отримую",
29/12/2020 21:27,"Так, працюю full-time",Київ,Віддалено,Чоловік,27,Вища,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,TypeScript,"Node.js, React Native, Vue.js","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"Automotive, Insurance",Стартап,до 10 спеціалістів,5 років,1 рік,03-Apr,4500,1500,"Ні, не отримую",
07/12/2020 10:31,"Так, працюю full-time",Дніпро,В офісі,Чоловік,31,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Manual QA,Не використовую,,,,,,,,,,,,,,,,"Mobile, Інша",Стартап,до 50,1 рік,1 рік,1,650,100,"Ні, не отримую",
07/12/2020 10:40,"Так, працюю full-time",Харків,Віддалено,Чоловік,28,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Automation QA,Java,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 10 спеціалістів,1 рік,1 рік,1,650,100,"Ні, не отримую",
07/12/2020 10:53,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Жінка,28,Вища,Інший виш,Pre-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Manual QA,Не використовую,,,,,,,,,,,,,,,,Інша,Продуктова,до 50,Пів року,Пів року,1,650,300,"Ні, не отримую",
29/12/2020 22:20,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,47,Вища,ЛНУ ім. Франка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,Не використовую,Spring,Web,,,,,,,,,,,,,,,,,,,Edtech,Стартап,до 50,10 і більше років,2 роки,8 і більше,4500,0,"Ні, не отримую",0
07/12/2020 12:04,"Так, працюю full-time",Київ,В офісі,Жінка,20,Ще студент,ЛНУ ім. Франка,Advanced,"Marketing, SEO, Copywriter",,,,,,,,,,,,Copywriter,Middle,,,,,,,,,,,,Інша,Продуктова,понад 1000,2 роки,Менше як 3 місяці,03-Apr,750,250,"Ні, не отримую",
31/12/2020 12:02,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,36,Вища,ВНТУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,C#/.NET,"JavaScript, SQL",".NET, Angular/Angular.js, ASP.NET","Web, Desktop",,,,,,,,,,,,,,,,,,,"Legal, Manufacturing",Аутстафінгова,до 10 спеціалістів,10 і більше років,2 роки,03-Apr,4500,0,"Ні, не отримую",
07/12/2020 11:53,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Жінка,22,Вища,ХНУРЕ,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Manual QA,Не використовую,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 200,2 роки,2 роки,1,650,0,"Ні, не отримую",0
01/01/2021 21:10,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,27,Вища,ВНТУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,TypeScript,"JavaScript, TypeScript",Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 200,6 років,Пів року,03-Apr,4500,500,"Отримую бонус за гарні показники роботи, але нерегулярно",600
02/01/2021 11:58,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,36,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Front-end,JavaScript,"JavaScript, TypeScript","Node.js, React.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Media",Аутстафінгова,понад 1000,10 і більше років,8 років,05-Jul,4500,0,"Ні, не отримую",0
07/12/2020 11:02,"Так, працюю full-time",Київ,Віддалено,Чоловік,23,Вища,НАУ,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Automation QA,Java,,,,,,,,,,,,,,,,Mobile,Аутстафінгова,понад 1000,4 роки,Пів року,2,3000,500,"Ні, не отримую",
02/01/2021 19:03,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,30,Кандидат наук,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,C#/.NET,".NET Core, Angular/Angular.js, React.js",Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 10 спеціалістів,5 років,Менше як 3 місяці,03-Apr,4500,500,"Ні, не отримую",
07/12/2020 12:05,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,30,Дві вищих,ХНЕУ,Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,System Administrator,Senior,,"High Load Systems, Інша",Аутсорсингова,до 1000,6 років,3 роки,2,1000,200,"Ні, не отримую",
