Timestamp,Ваша основна зайнятість в ІТ зараз...,"Зарплата / дохід у $$$ за місяць, лише ставка 
ЧИСТИМИ - після сплати податків",Оберіть вашу основну посаду,Ваш тайтл на цій посаді,Вкажіть вашу спеціалізацію - Game Design,Вкажіть вашу спеціалізацію - Sound,Вкажіть вашу спеціалізацію - QA,Оберіть вашу посаду - Design,GameDev розробники - оберіть вашу спеціалізацію,Ваша посада - Marketing,Оберіть вашу посаду - HR,Ваша посада - PM,Ваша посада - Analyst,Ваша посада - DS,Ваша посада - DevOps,Ваша посада - Top management,Ваша спеціалізація - Support,Чи використовуєте ви у своїй роботі мови програмування (одну чи декілька)?,Основна мова програмування,Вкажіть вашу основну спеціалізацію,"В якій сфері проєкт, в якому ви зараз працюєте?","Основний напрям роботи компанії, в якій працюєте",Кількість спеціалістів у вашій компанії (в Україні/з України),Загальний стаж роботи за нинішньою ІТ-спеціальністю,Яка у вас освіта?,Знання англійської мови,Де ви зараз живете? ,В якій області ви зараз живете?,Ваша стать,Ваш вік
12/6/2023 19:25:35,Працюю full-time в ІТ-компанії чи ІТ-відділі,3560,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,JavaScript,Full Stack розробка,"Legal, Travel",Продуктова,до 10 спеціалістів,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Ужгород чи Закарпатська область,Чоловік,26
12/6/2023 19:26:24,Працюю full-time в ІТ-компанії чи ІТ-відділі,5500,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,C# / .NET,Back-end  розробка,Security,Продуктова,до 50,10,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Кропивницький чи область,Чоловік,38
12/6/2023 19:26:37,Працюю full-time в ІТ-компанії чи ІТ-відділі,3600,"Marketing, PR, SEO, Copywriter",Senior,,,,,,Digital Marketing Manager,,,,,,,,,,,"Fintech / Banking / Capital Management, Manufacturing, Retail",Аутсорсингова,понад 1000,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,В Україні,Київ чи область,Жінка,35
12/6/2023 19:26:38,Працюю full-time в ІТ-компанії чи ІТ-відділі,5000,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,PHP,Back-end  розробка,"Big Data, High Load Systems, Security",Продуктова,до 50,4,Середня,Intermediate,В Україні,Київ чи область,Чоловік,33
12/6/2023 19:26:52,Працюю full-time в ІТ-компанії чи ІТ-відділі,3000,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Automation QA,,,,,,,,,,,"Так, використовую",Java,QA,E-commerce,Аутсорсингова,понад 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Дніпро чи область,Чоловік,28
12/6/2023 19:27:29,Працюю full-time в ІТ-компанії чи ІТ-відділі,1250,HR/Recruiter/Learning and Development,Middle,,,,,,,Learning and Development / Training and Development,,,,,,,,,,Edtech / Education,Продуктова,понад 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Київ чи область,Чоловік,24
12/6/2023 19:29:05,Працюю full-time в ІТ-компанії чи ІТ-відділі,1000,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,PHP,Back-end  розробка,Інша,Продуктова,до 50,5,"Науковий ступінь (кандидат / доктор наук, PhD)",Pre-Intermediate,В Україні,Чернігів чи область,Чоловік,27
12/6/2023 19:29:23,Працюю full-time в ІТ-компанії чи ІТ-відділі,1500,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,C# / .NET,Back-end  розробка,"Hardware, High Load Systems, Miltech",Продуктова,до 1000,5,Незакінчена вища,Intermediate,В Україні,Київ чи область,Чоловік,34
12/6/2023 19:29:31,Працюю full-time в ІТ-компанії чи ІТ-відділі,2000,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Middle,,,,,,,,Project Manager,,,,,,"Ні, не використовую",,,Embedded,Продуктова,понад 1000,0.25,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Київ чи область,Жінка,26
12/6/2023 19:30:50,Працюю full-time в ІТ-компанії чи ІТ-відділі,1775,HR/Recruiter/Learning and Development,Middle,,,,,,,Recruiter,,,,,,,,,,Інша,Аутсорсингова,до 200,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Жінка,24
12/6/2023 19:31:25,Працюю full-time в ІТ-компанії чи ІТ-відділі,2300,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Rust,Back-end  розробка,Adtech / Advertising,Стартап,до 10 спеціалістів,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,"За кордоном, але планую повернутися",,Чоловік,34
12/6/2023 19:31:35,Працюю full-time в ІТ-компанії чи ІТ-відділі,900,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,JavaScript,Front-end  розробка,Інша,Аутсорсингова,до 1000,1.5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Черкаси чи область,Чоловік,32
12/6/2023 19:31:59,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,C# / .NET,Back-end  розробка,"Big Data, Data Science, Fintech / Banking / Capital Management",Аутсорсингова,до 200,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Львів чи область,Чоловік,25
12/6/2023 19:32:52,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,"Data Science, Machine Learning, AI, Big Data, Data Engineer",Немає тайтлу,,,,,,,,,,Machine / Deep Learning Engineer,,,,"Так, використовую",Python,DevOps,"Machine Learning, Medtech / Healthcare",Стартап,до 10 спеціалістів,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,В Україні,Львів чи область,Чоловік,22
12/6/2023 19:33:02,Працюю full-time в ІТ-компанії чи ІТ-відділі,2360,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,TypeScript,Full Stack розробка,"Logistics, Retail",Продуктова,до 50,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Хмельницький чи область,Чоловік,36
12/6/2023 19:35:33,Працюю part-time в ІТ-компанії чи ІТ-відділі,475,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,,Performance QA,,,,,,,,,,,"Ні, не використовую",,,Інша,Продуктова,до 200,0.25,Ще студент вишу,Intermediate,В Україні,Одеса чи область,Жінка,19
12/6/2023 19:35:49,Працюю full-time в ІТ-компанії чи ІТ-відділі,880,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,Java,Back-end  розробка,Adtech / Advertising,Аутстафінгова,понад 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Львів чи область,Чоловік,24
12/6/2023 19:35:51,Працюю full-time в ІТ-компанії чи ІТ-відділі,1500,HR/Recruiter/Learning and Development,Немає тайтлу,,,,,,,Recruiter,,,,,,,,,,"Adtech / Advertising, Automotive, Medtech / Healthcare",Аутстафінгова,до 200,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Полтава чи область,Чоловік,32
12/6/2023 19:36:02,Працюю full-time в ІТ-компанії чи ІТ-відділі,1700,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Немає тайтлу,,,,,,,,Project Manager,,,,,,"Ні, не використовую",,,Інша,Аутсорсингова,до 200,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Черкаси чи область,Жінка,33
12/6/2023 19:37:19,Працюю full-time в ІТ-компанії чи ІТ-відділі,3500,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,Manual QA,,,,,,,,,,,"Ні, не використовую",,,Інша,Продуктова,до 50,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,"За кордоном, але планую повернутися",,Чоловік,28
12/6/2023 19:38:50,Працюю full-time в ІТ-компанії чи ІТ-відділі,5500,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Senior,,,,,,,,Product Manager,,,,,,"Так, використовую",Python,"Робота з даними, аналіз даних",Agriculture,Продуктова,до 200,8,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,В Україні,Київ чи область,Чоловік,38
12/6/2023 19:39:23,Працюю full-time в ІТ-компанії чи ІТ-відділі,3500,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,C# / .NET,Back-end  розробка,Internet of Things,Аутстафінгова,до 1000,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,"За кордоном, але планую повернутися",,Чоловік,24
12/6/2023 19:40:54,Працюю full-time в ІТ-компанії чи ІТ-відділі,1000,HR/Recruiter/Learning and Development,Senior,,,,,,,Learning and Development / Training and Development,,,,,,,,,,Інша,Аутсорсингова,понад 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,В Україні,Львів чи область,Жінка,23
12/6/2023 19:41:07,Працюю full-time в ІТ-компанії чи ІТ-відділі,1000,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,E-commerce,Аутсорсингова,до 50,1,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Полтава чи область,Жінка,27
12/6/2023 19:41:28,Працюю full-time в ІТ-компанії чи ІТ-відділі,4500,"Designer / Artist (Graphic, Video, UX/UI)",Team Lead,,,,Product Designer,,,,,,,,,,,,,Fintech / Banking / Capital Management,Продуктова,до 50,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Advanced,В Україні,Київ чи область,Чоловік,39
12/6/2023 19:41:29,Працюю full-time в ІТ-компанії чи ІТ-відділі,1700,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,Java,Back-end  розробка,Retail,Аутсорсингова,до 200,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Львів чи область,Чоловік,36
12/6/2023 19:42:54,Працюю full-time в ІТ-компанії чи ІТ-відділі,5500,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Python,Back-end  розробка,"E-commerce, Internet of Things",Продуктова,до 200,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Львів чи область,Чоловік,26
12/6/2023 19:43:54,Працюю full-time в ІТ-компанії чи ІТ-відділі,2000,Software Engineer / Programmer,Tech Lead,,,,,,,,,,,,,,,Swift,Mobile  розробка,"Hardware, Mobile",Аутстафінгова,до 200,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Кропивницький чи область,Чоловік,32
12/6/2023 19:44:12,Працюю full-time в ІТ-компанії чи ІТ-відділі,2000,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,Medtech / Healthcare,Продуктова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,"За кордоном, але планую повернутися",,Чоловік,37
12/6/2023 19:44:24,Працюю full-time в ІТ-компанії чи ІТ-відділі,1000,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Java,Back-end  розробка,"Automotive, Big Data",Аутсорсингова,понад 1000,1,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Тернопіль чи область,Чоловік,38
12/6/2023 19:44:25,Працюю full-time в ІТ-компанії чи ІТ-відділі,1300,"DevOps, SRE",Junior,,,,,,,,,,,DevOps Engineer,,,"Так, використовую",Python,DevOps,Dating,Аутстафінгова,до 10 спеціалістів,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Київ чи область,Чоловік,35
12/6/2023 19:44:40,Працюю full-time в ІТ-компанії чи ІТ-відділі,2500,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Manual QA,,,,,,,,,,,"Ні, не використовую",,,Інша,Продуктова,понад 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Львів чи область,Жінка,32
12/6/2023 19:45:03,Працюю full-time в ІТ-компанії чи ІТ-відділі,4400,Software Engineer / Programmer,Tech Lead,,,,,,,,,,,,,,,Python,Back-end  розробка,"Data Science, Machine Learning, Public services / Government",Аутсорсингова,понад 1000,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,30
12/6/2023 19:45:27,Працюю full-time в ІТ-компанії чи ІТ-відділі,1800,HR/Recruiter/Learning and Development,Senior,,,,,,,Learning and Development / Training and Development,,,,,,,,,,Edtech / Education,Стартап,до 50,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Жінка,25
12/6/2023 19:46:19,Працюю full-time в ІТ-компанії чи ІТ-відділі,5000,"DevOps, SRE",Senior,,,,,,,,,,,DevOps Engineer,,,"Ні, не використовую",,,Інша,Аутсорсингова,понад 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Дніпро чи область,Чоловік,25
12/6/2023 19:47:37,Працюю full-time в ІТ-компанії чи ІТ-відділі,4500,HR/Recruiter/Learning and Development,Head,,,,,,,Learning and Development / Training and Development,,,,,,,,,,Інша,Аутсорсингова,до 1000,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Elementary,В Україні,Київ чи область,Жінка,28
12/6/2023 19:47:56,Працюю full-time в ІТ-компанії чи ІТ-відділі,1600,HR/Recruiter/Learning and Development,Senior,,,,,,,Learning and Development / Training and Development,,,,,,,,,,Mobile,Продуктова,до 200,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,"За кордоном, але планую повернутися",,Жінка,34
12/6/2023 19:50:35,Працюю full-time в ІТ-компанії чи ІТ-відділі,1200,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Automation QA,,,,,,,,,,,"Так, використовую",C# / .NET,QA,Інша,Аутсорсингова,понад 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Інше,Чоловік,25
12/6/2023 19:51:40,Працюю full-time в ІТ-компанії чи ІТ-відділі,7850,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Java,Back-end  розробка,Medtech / Healthcare,Аутстафінгова,до 200,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,"За кордоном, але планую повернутися",,Чоловік,26
12/6/2023 19:52:39,Працюю full-time в ІТ-компанії чи ІТ-відділі,1050,HR/Recruiter/Learning and Development,Немає тайтлу,,,,,,,Learning and Development / Training and Development,,,,,,,,,,Edtech / Education,Продуктова,до 200,2,"Науковий ступінь (кандидат / доктор наук, PhD)",Advanced,В Україні,Львів чи область,Жінка,29
12/6/2023 19:53:29,Працюю full-time в ІТ-компанії чи ІТ-відділі,4300,Security Specialist,Senior,,,,,,,,,,,,,,"Так, використовую",Python,Інше,Security,Аутсорсингова,до 200,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Жінка,23
12/6/2023 19:54:52,Працюю full-time в ІТ-компанії чи ІТ-відділі,1500,HR/Recruiter/Learning and Development,Manager,,,,,,,Learning and Development / Training and Development,,,,,,,,,,"Automotive, Fintech / Banking / Capital Management, Telecom",Аутсорсингова,понад 1000,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Жінка,33
12/6/2023 19:55:37,Працюю full-time в ІТ-компанії чи ІТ-відділі,1500,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,TypeScript,Back-end  розробка,"Embedded, Security",Продуктова,до 50,1,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Київ чи область,Чоловік,33
12/6/2023 19:56:21,Працюю full-time в ІТ-компанії чи ІТ-відділі,1900,Software Engineer / Programmer,Middle,,,,,Інше,,,,,,,,,,SQL,Full Stack розробка,Retail,Продуктова,до 50,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Ужгород чи Закарпатська область,Жінка,38
12/6/2023 19:56:31,Працюю full-time в ІТ-компанії чи ІТ-відділі,4300,"Project/Product/Program/Delivery/Engineering Manager, Product Owner, Producer, Scrum Master",Middle,,,,,,,,Product Manager,,,,,,"Ні, не використовую",,,"E-commerce, Logistics, Retail",Продуктова,понад 1000,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,29
12/6/2023 19:57:04,Працюю full-time в ІТ-компанії чи ІТ-відділі,4400,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,SQL,"Робота з даними, аналіз даних",Gambling,Продуктова,до 200,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Івано-Франківськ чи область,Чоловік,32
12/6/2023 19:57:35,Працюю full-time в ІТ-компанії чи ІТ-відділі,1500,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,JavaScript,Front-end  розробка,Adtech / Advertising,Аутстафінгова,до 50,3,Незакінчена вища,Upper-Intermediate,В Україні,Київ чи область,Чоловік,28
12/6/2023 19:59:58,Працюю full-time в ІТ-компанії чи ІТ-відділі,1180,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,E-commerce,Аутсорсингова,до 50,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Львів чи область,Чоловік,29
12/6/2023 20:04:04,Працюю full-time в ІТ-компанії чи ІТ-відділі,3300,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,JavaScript,Full Stack розробка,ERP,Продуктова,до 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,"За кордоном, але планую повернутися",,Чоловік,37
12/6/2023 20:07:44,Працюю full-time в ІТ-компанії чи ІТ-відділі,3750,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,Automation QA,,,,,,,,,,,"Так, використовую",Python,QA,"Embedded, Manufacturing, Mobile",Аутсорсингова,понад 1000,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Рівне чи область,Чоловік,24
12/6/2023 20:10:39,Працюю full-time в ІТ-компанії чи ІТ-відділі,5500,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,Travel,Аутсорсингова,до 1000,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Івано-Франківськ чи область,Чоловік,43
12/6/2023 20:11:46,Працюю full-time в ІТ-компанії чи ІТ-відділі,1100,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,JavaScript,Front-end  розробка,E-commerce,Стартап,до 10 спеціалістів,0.5,Незакінчена вища,Upper-Intermediate,В Україні,Житомир чи область,Чоловік,20
12/6/2023 20:12:33,Працюю full-time в ІТ-компанії чи ІТ-відділі,3000,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Java,Full Stack розробка,Insurance,Аутстафінгова,до 1000,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,"За кордоном, але планую повернутися",,Жінка,40
12/6/2023 20:17:28,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,"Analyst (Business, Data, System etc)",Senior,,,,,,,,,Business Analyst,,,,,"Ні, не використовую",,,ERP,Аутсорсингова,до 200,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Дніпро чи область,Жінка,29
12/6/2023 20:18:45,Працюю full-time в ІТ-компанії чи ІТ-відділі,720,HR/Recruiter/Learning and Development,Middle,,,,,,,Learning and Development / Training and Development,,,,,,,,,,Edtech / Education,Аутсорсингова,понад 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Жінка,32
12/6/2023 20:31:10,Втратив(-ла) роботу в ІТ і шукаю нову,1480,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Manual QA,,,,,,,,,,,"Ні, не використовую",,,"Edtech / Education, GameDev, Mobile",Продуктова,до 50,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,38
12/6/2023 20:31:57,Працюю full-time в ІТ-компанії чи ІТ-відділі,400,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,Dart,Mobile  розробка,Mobile,Аутсорсингова,до 200,0.5,Ще студент вишу,Upper-Intermediate,В Україні,Ужгород чи Закарпатська область,Чоловік,18
12/6/2023 20:32:21,"Працював(-ла) в IT, нині на військовій службі",544,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Java,Back-end  розробка,"Edtech / Education, Miltech",Державне підприємство / установа,понад 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Київ чи область,Чоловік,28
12/6/2023 20:32:26,Працюю full-time в ІТ-компанії чи ІТ-відділі,1450,Software Engineer / Programmer,Junior,,,,,Gameplay Programmer,,,,,,,,,,TypeScript,Front-end  розробка,Gambling,Аутсорсингова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Вінниця чи область,Чоловік,34
12/6/2023 20:33:15,Втратив(-ла) роботу в ІТ і шукаю нову,3250,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,Manual QA,,,,,,,,,,,"Ні, не використовую",,,Інша,Аутстафінгова,до 50,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Жінка,36
12/6/2023 20:33:52,Працюю full-time в ІТ-компанії чи ІТ-відділі,1200,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Manual QA,,,,,,,,,,,"Ні, не використовую",,,"E-commerce, Media",Продуктова,до 50,1,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Pre-Intermediate,В Україні,Київ чи область,Чоловік,30
12/6/2023 20:36:05,Працюю full-time в ІТ-компанії чи ІТ-відділі,1300,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,,Manual QA,,,,,,,,,,,"Так, використовую",C# / .NET,QA,"Adtech / Advertising, Media",Аутстафінгова,понад 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,23
12/6/2023 20:42:18,Працюю full-time в ІТ-компанії чи ІТ-відділі,4800,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,TypeScript,Full Stack розробка,Fintech / Banking / Capital Management,Аутсорсингова,до 50,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Дніпро чи область,Чоловік,25
12/6/2023 20:49:48,Працюю full-time в ІТ-компанії чи ІТ-відділі,5000,Software Engineer / Programmer,Tech Lead,,,,,,,,,,,,,,,TypeScript,Front-end  розробка,"Edtech / Education, ERP, Fintech / Banking / Capital Management",Аутсорсингова,до 200,7,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,35
12/6/2023 20:50:11,Працюю full-time в ІТ-компанії чи ІТ-відділі,1300,"Designer / Artist (Graphic, Video, UX/UI)",Middle,,,,2D Artist,,,,,,,,,,,,,GameDev,Аутсорсингова,до 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Elementary,В Україні,Київ чи область,Жінка,28
12/6/2023 20:50:55,Працюю full-time в ІТ-компанії чи ІТ-відділі,3600,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,Automation QA,,,,,,,,,,,"Так, використовую",Java,QA,"Big Data, Cloud Computing, High Load Systems",Аутсорсингова,до 200,9,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,33
12/6/2023 20:51:01,Працюю full-time в ІТ-компанії чи ІТ-відділі,2300,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,General QA,,,,,,,,,,,"Так, використовую",Java,QA,Fintech / Banking / Capital Management,Аутсорсингова,до 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Черкаси чи область,Чоловік,38
12/6/2023 20:53:08,Працюю full-time в ІТ-компанії чи ІТ-відділі,8650,"Data Science, Machine Learning, AI, Big Data, Data Engineer",Senior,,,,,,,,,,Machine / Deep Learning Engineer,,,,"Так, використовую",Python,"Робота з даними, аналіз даних",E-commerce,Продуктова,до 200,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,27
12/6/2023 20:58:15,Працюю full-time в ІТ-компанії чи ІТ-відділі,1900,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,C,Інше,"Embedded, Hardware, Telecom",Аутсорсингова,до 200,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,23
12/6/2023 21:01:42,Працюю full-time в ІТ-компанії чи ІТ-відділі,1850,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,PHP,Full Stack розробка,"E-commerce, ERP, Fintech / Banking / Capital Management",Продуктова,до 10 спеціалістів,4,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Вінниця чи область,Чоловік,23
12/6/2023 21:06:01,Працюю full-time в ІТ-компанії чи ІТ-відділі,810,HR/Recruiter/Learning and Development,Manager,,,,,,,Learning and Development / Training and Development,,,,,,,,,,Інша,Продуктова,до 1000,0.25,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Elementary,В Україні,Дніпро чи область,Жінка,23
12/6/2023 21:11:31,Працюю full-time в ІТ-компанії чи ІТ-відділі,2800,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,TypeScript,Full Stack розробка,Інша,Аутстафінгова,до 50,3,Незакінчена вища,Intermediate,В Україні,Одеса чи область,Чоловік,33
12/6/2023 21:14:14,Працюю full-time в ІТ-компанії чи ІТ-відділі,2700,"DevOps, SRE",Middle,,,,,,,,,,,DevOps Engineer,,,"Так, використовую",Python,DevOps,"E-commerce, Medtech / Healthcare",Аутсорсингова,до 50,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Житомир чи область,Чоловік,33
12/6/2023 21:15:37,Працюю full-time в ІТ-компанії чи ІТ-відділі,3000,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,JavaScript,Full Stack розробка,Cloud Computing,Аутсорсингова,до 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Дніпро чи область,Чоловік,25
12/6/2023 21:17:49,Працюю full-time в ІТ-компанії чи ІТ-відділі,1000,HR/Recruiter/Learning and Development,Middle,,,,,,,Learning and Development / Training and Development,,,,,,,,,,"Automotive, E-commerce, Embedded",Аутсорсингова,понад 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Жінка,32
