timestamp,Ваша основна зайнятість в ІТ зараз...,"Зарплата / дохід в IT у $$$ за місяць, лише ставка ЧИСТИМИ - після сплати податків",Оберіть ваш тайтл або роль у компанії,Categories,Position,Розробники -  основна спеціалізація,programming_language,"Основний напрям роботи компанії, в якій працюєте",Загальний стаж роботи за нинішньою ІТ-спеціальністю,english_level,Де ви зараз живете?,В якій області ви зараз живете?,male
27/11/2024 12:19,Працюю full-time,500.0,Lead/Team Lead,Other Mgmt,Operations Manager,,,Сервісна (аутсорсингова),0.5,3,В Україні,Одеса чи область,0
27/11/2024 12:19,Працюю full-time,2000.0,Senior,QA,Automation QA / AQA,,TypeScript,Сервісна (аутсорсингова),4.0,5,В Україні,Київ чи область,0
27/11/2024 12:19,Працюю full-time,500.0,Junior,Game design,Game Designer,,C# / .NET,Сервісна (аутсорсингова),1.0,5,В Україні,Дніпро чи область,0
27/11/2024 12:19,Працюю full-time,3620.0,Senior,QA,Manual QA,,Python,Сервісна (аутсорсингова),6.0,5,В Україні,Львів чи область,0
27/11/2024 12:19,Працюю full-time,1600.0,Middle,QA,Manual QA,,,Сервісна (аутсорсингова),3.0,3,"За кордоном, важко сказати, чи повернуся",,0
27/11/2024 12:19,Працюю full-time,382.0,Junior,Other Mgmt,Operations Manager,,,Сервісна (аутсорсингова),1.5,3,В Україні,Одеса чи область,0
27/11/2024 12:19,Працюю full-time,850.0,Middle,HR,Learning and Development / Training and Development,,,Сервісна (аутсорсингова),4.0,5,В Україні,Львів чи область,0
27/11/2024 12:20,Працюю full-time,7700.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Kotlin,Продуктова,13.0,5,В Україні,Київ чи область,0
27/11/2024 12:20,Працюю full-time,3000.0,Senior,QA,Manual QA,,,Сервісна (аутсорсингова),10.0,5,В Україні,Київ чи область,0
27/11/2024 12:20,Працюю full-time,1955.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Продуктова,5.0,4,В Україні,Київ чи область,0
27/11/2024 12:20,Працюю full-time,710.0,Немає тайтлу,Game design,Game Designer,,,Продуктова,0.5,6,В Україні,Житомир чи область,0
27/11/2024 12:20,Працюю full-time,600.0,Junior,SE,Software Engineer / Software Developer,,C# / .NET,Стартап,1.0,3,В Україні,Київ чи область,0
27/11/2024 12:21,Працюю full-time,1200.0,Middle,Design,Brand Designer / Marketing Designer,,,Продуктова,5.0,2,В Україні,Львів чи область,0
27/11/2024 12:21,Працюю full-time,5400.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Аутстафінгова,7.0,5,В Україні,Суми чи область,0
27/11/2024 12:22,Працюю full-time,3000.0,Middle,Artist/Animator,Technical Artist,,,Сервісна (аутсорсингова),3.0,5,В Україні,Дніпро чи область,0
27/11/2024 12:22,Працюю full-time,2350.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Аутстафінгова,12.0,4,В Україні,Ужгород чи Закарпатська область,0
27/11/2024 12:22,Працюю full-time,950.0,Middle,HR,Talent Sourcer / Talent Researcher / Recruitment Researcher,,,Сервісна (аутсорсингова),4.0,5,В Україні,Львів чи область,0
27/11/2024 12:25,Працюю full-time,4600.0,Middle,SE,Software Engineer / Software Developer,Desktop,C++,Продуктова,4.0,6,В Україні,Львів чи область,0
27/11/2024 12:25,Працюю full-time,720.0,Junior,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Продуктова,2.0,4,В Україні,Дніпро чи область,0
27/11/2024 12:25,Працюю full-time,3500.0,Senior,QA,Manual QA,,,Продуктова,7.0,5,В Україні,Дніпро чи область,0
27/11/2024 12:25,Втратив(-ла) роботу і шукаю нову,1600.0,Middle,Game design,Narrative Designer,,,Продуктова,2.0,6,В Україні,Київ чи область,0
27/11/2024 12:28,Втратив(-ла) роботу і шукаю нову,900.0,Junior,Artist/Animator,3D Artist,,,Сервісна (аутсорсингова),2.0,6,"За кордоном, не планую повертатися",,0
27/11/2024 12:30,Працюю full-time,6400.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Python,Продуктова,6.0,6,В Україні,Київ чи область,0
27/11/2024 12:30,Працюю full-time,1200.0,Middle,HR,HR Manager / HR specialist,,,Державне підприємство / установа,5.0,3,В Україні,Київ чи область,0
27/11/2024 12:30,Працюю full-time,5200.0,Tech Lead,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Сервісна (аутсорсингова),13.0,5,В Україні,Дніпро чи область,0
27/11/2024 12:30,Працюю full-time,2500.0,Senior,"UI/UX, Product Design",UI/UX Designer,,,Сервісна (аутсорсингова),8.0,6,В Україні,Чернігів чи область,0
27/11/2024 12:31,Працюю full-time,6000.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Kotlin,Продуктова,6.0,3,В Україні,Київ чи область,0
27/11/2024 12:33,Працюю full-time,7000.0,CEO / C-level (Chief) / Director / VP,,QA Director,,,Продуктова,13.0,5,В Україні,Київ чи область,0
27/11/2024 12:35,Працюю full-time,750.0,Junior,Game design,Level Designer,,,Продуктова,1.0,2,В Україні,Київ чи область,0
27/11/2024 12:36,Працюю full-time,1700.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Сервісна (аутсорсингова),3.0,4,В Україні,Львів чи область,0
27/11/2024 12:36,Працюю full-time,1900.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,PHP,Сервісна (аутсорсингова),7.0,4,В Україні,Чернівці чи область,0
27/11/2024 12:37,Працюю full-time,2500.0,Lead/Team Lead,Brand,Community Manager,,,Продуктова,7.0,6,В Україні,Львів чи область,0
27/11/2024 12:38,Працюю full-time,1300.0,Middle,Brand,Employer Brand Manager,,,Продуктова,0.5,4,В Україні,Київ чи область,0
27/11/2024 12:39,Працюю full-time,1500.0,Senior,QA,Manual QA,,,Сервісна (аутсорсингова),4.0,5,В Україні,Київ чи область,0
27/11/2024 12:41,Працюю full-time,1500.0,Lead/Team Lead,Brand,Community Manager,,,Продуктова,5.0,6,В Україні,Львів чи область,0
27/11/2024 12:41,Працюю full-time,3900.0,Senior,Artist/Animator,3D Artist,,,Продуктова,6.0,2,В Україні,Житомир чи область,0
27/11/2024 12:42,Працюю full-time,7200.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Python,Продуктова,6.0,6,В Україні,Київ чи область,0
27/11/2024 12:44,Працюю full-time,2500.0,Middle,Product Mgmt,Product Manager,,SQL,Продуктова,2.0,6,В Україні,Київ чи область,0
27/11/2024 12:46,Працюю full-time,1250.0,Junior,Analyst,Operations Analyst,,Python,Продуктова,1.0,5,В Україні,Київ чи область,0
27/11/2024 12:46,Працюю full-time,1500.0,Lead/Team Lead,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Сервісна (аутсорсингова),2.0,5,В Україні,Київ чи область,0
27/11/2024 12:48,Працюю full-time,1000.0,Middle,HR,Recruiter / Recruitment Specialist / Technical Recruiter,,,Аутстафінгова,3.0,3,В Україні,Львів чи область,0
27/11/2024 12:48,Працюю full-time,850.0,Middle,Marketing,Marketing Manager,,,Інша,10.0,2,В Україні,Запоріжжя чи область,0
27/11/2024 12:49,"Працював(-ла) в IT, нині на військовій службі",3000.0,Senior,SE,Software Engineer / Software Developer,,C# / .NET,Сервісна (аутсорсингова),15.0,5,В Україні,Київ чи область,0
27/11/2024 12:49,Працюю full-time,1600.0,Middle,SE,Software Engineer / Software Developer,,C# / .NET,Сервісна (аутсорсингова),5.0,4,В Україні,Дніпро чи область,0
27/11/2024 12:51,Працюю full-time,3700.0,Senior,SE,Software Engineer / Software Developer,Mobile розробка,TypeScript,Продуктова,4.0,5,"За кордоном, не планую повертатися",,0
27/11/2024 12:52,Працюю full-time,1000.0,Middle,Game design,Game Designer,,,Продуктова,2.0,4,В Україні,Київ чи область,0
27/11/2024 12:52,Працюю full-time,2500.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,1С,Інша,4.0,3,В Україні,Київ чи область,0
27/11/2024 12:53,Працюю full-time,4800.0,Senior,DevOps,DevOps Engineer,,,Аутстафінгова,4.0,5,"За кордоном, але планую повернутися",,0
27/11/2024 12:53,Працюю full-time,11500.0,CEO / C-level (Chief) / Director / VP,Tech Leadership,CTO (Chief Technology Officer) / Technical Director,,PHP,Продуктова,1.0,4,В Україні,Київ чи область,0
27/11/2024 12:53,Працюю full-time,10800.0,Senior,DevOps,DevOps Engineer,,,Продуктова,5.0,5,В Україні,Львів чи область,0
27/11/2024 12:53,Працюю full-time,1560.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Продуктова,4.0,5,В Україні,Київ чи область,0
27/11/2024 12:56,Працюю full-time,1200.0,Немає тайтлу,SysAdmin,SysAdmin,,BASH,Аутстафінгова,5.0,2,В Україні,Черкаси чи область,0
27/11/2024 12:56,Працюю full-time,5000.0,Senior,DevOps,DevOps Engineer,,Python,Продуктова,5.0,5,"За кордоном, але планую повернутися",,0
27/11/2024 12:56,Працюю full-time,2400.0,Middle,DevOps,DevOps Engineer,,Groovy,Продуктова,2.0,6,В Україні,Київ чи область,0
27/11/2024 12:56,Працюю full-time,1425.0,Middle,DevOps,DevOps Engineer,,,Сервісна (аутсорсингова),3.0,5,В Україні,Київ чи область,0
27/11/2024 12:58,Працюю full-time,1900.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,Lua,Сервісна (аутсорсингова),2.0,5,В Україні,Дніпро чи область,0
27/11/2024 12:58,Працюю full-time,1284.0,Middle,QA,Manual QA,,TypeScript,Продуктова,2.0,3,В Україні,Одеса чи область,0
27/11/2024 12:58,Працюю full-time,6000.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Продуктова,10.0,5,В Україні,Київ чи область,0
27/11/2024 12:59,Працюю full-time,1309.0,Middle,DevOps,DevOps Engineer,,Powershell,Сервісна (аутсорсингова),2.0,5,В Україні,Ужгород чи Закарпатська область,0
27/11/2024 13:00,Працюю full-time,3000.0,Немає тайтлу,DevOps,DevOps Engineer,,Python,Продуктова,8.0,5,"За кордоном, не планую повертатися",,0
27/11/2024 13:01,Працюю full-time,4500.0,Middle,DevOps,DevOps Engineer,,JavaScript,Сервісна (аутсорсингова),4.0,5,В Україні,Івано-Франківськ чи область,0
27/11/2024 13:02,Працюю full-time,9000.0,Lead/Team Lead,DevOps,DevOps Engineer,,Python,Продуктова,5.0,3,"За кордоном, не планую повертатися",,0
27/11/2024 13:03,Працюю full-time,3000.0,Middle,DevOps,DevOps Engineer,,TypeScript,Сервісна (аутсорсингова),3.0,5,В Україні,Київ чи область,0
27/11/2024 13:04,Працюю full-time,3800.0,CEO / C-level (Chief) / Director / VP,HR,VP of People Operations,,,Сервісна (аутсорсингова),7.0,5,В Україні,Київ чи область,0
27/11/2024 13:05,Працюю full-time,2000.0,Lead/Team Lead,Other Mgmt,Producer,,,Продуктова,0.5,6,"За кордоном, важко сказати, чи повернуся",,0
27/11/2024 13:05,Працюю full-time,1400.0,Middle,DevOps,DevOps Engineer,,Python,Сервісна (аутсорсингова),2.0,6,В Україні,Київ чи область,0
27/11/2024 13:05,Працюю full-time,2000.0,Middle,DevOps,DevOps Engineer,,Python,Продуктова,6.0,4,В Україні,Ужгород чи Закарпатська область,0
27/11/2024 13:06,Зараз в неоплачуваній відпустці / бенчі,2800.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,Сервісна (аутсорсингова),4.0,5,В Україні,Івано-Франківськ чи область,0
27/11/2024 13:07,Працюю full-time,2500.0,Middle,DevOps,DevOps Engineer,,Python,Продуктова,3.0,4,"За кордоном, важко сказати, чи повернуся",,0
27/11/2024 13:07,Працюю full-time,2300.0,Middle,DevOps,DevOps Engineer,,Python,Продуктова,3.0,4,В Україні,Київ чи область,0
27/11/2024 13:07,Працюю full-time,2200.0,Senior,DevOps,Infrastructure Engineer,,Не можу обрати одну основну мову,Продуктова,15.0,5,В Україні,Київ чи область,0
27/11/2024 13:08,Працюю full-time,750.0,Junior,DS,Data Scientist,,Python,Сервісна (аутсорсингова),1.5,4,В Україні,Київ чи область,0
27/11/2024 13:08,Працюю full-time,700.0,Немає тайтлу,Marketing,Marketing Manager,,,Сервісна (аутсорсингова),3.0,5,В Україні,Київ чи область,0
27/11/2024 13:08,Працюю full-time,3100.0,Senior,DevOps,DevOps Engineer,,Python,Продуктова,5.0,4,В Україні,Київ чи область,0
27/11/2024 13:09,Працюю full-time,3100.0,Middle,SE,Software Engineer / Software Developer,Mobile розробка,Swift,Сервісна (аутсорсингова),4.0,6,"За кордоном, важко сказати, чи повернуся",,0
27/11/2024 13:09,Працюю full-time,1400.0,Middle,DevOps,DevOps Engineer,,TypeScript,Сервісна (аутсорсингова),1.5,6,В Україні,Київ чи область,0
27/11/2024 13:10,Працюю full-time,1200.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,1С,Продуктова,5.0,2,В Україні,Луцьк чи Волинська область,0
27/11/2024 13:10,Працюю full-time,3500.0,Middle,Artist/Animator,3D Artist,,,Продуктова,4.0,5,"За кордоном, але планую повернутися",,0
27/11/2024 13:11,Працюю full-time,2650.0,Middle,DevOps,DevOps Engineer,,Go,Сервісна (аутсорсингова),2.0,6,В Україні,Київ чи область,0
27/11/2024 13:11,Працюю full-time,3400.0,Middle,DevOps,DevOps Engineer,,Python,Сервісна (аутсорсингова),3.0,6,В Україні,Київ чи область,0
27/11/2024 13:12,Працюю full-time,1290.0,Middle,QA,Manual QA,,,Сервісна (аутсорсингова),3.0,5,В Україні,Івано-Франківськ чи область,0
27/11/2024 13:12,Працюю full-time,700.0,Junior,Artist/Animator,3D Artist,,,Сервісна (аутсорсингова),1.0,5,В Україні,Вінниця чи область,0
27/11/2024 13:13,Втратив(-ла) роботу і шукаю нову,1000.0,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,Аутстафінгова,7.0,5,В Україні,Харків чи область,0
27/11/2024 13:14,Працюю full-time,4815.0,Middle,DevOps,DevOps Engineer,,Go,Аутстафінгова,6.0,5,"За кордоном, важко сказати, чи повернуся",,0
27/11/2024 13:14,Працюю full-time,1000.0,Junior,Game design,Sound Designer,,,Продуктова,2.0,2,В Україні,Київ чи область,0
27/11/2024 13:17,Працюю full-time,3300.0,Senior,Artist/Animator,3D Artist,,,Продуктова,14.0,6,В Україні,Вінниця чи область,0
27/11/2024 13:18,Працюю full-time,9500.0,Senior,Game design,Game Designer,,Python,Стартап,7.0,4,В Україні,Київ чи область,0
27/11/2024 13:18,Працюю full-time,3400.0,Head,Product Mgmt,Head of Product,,,Стартап,8.0,6,В Україні,Київ чи область,0
27/11/2024 13:18,Працюю full-time,4500.0,Senior,DevOps,DevOps Engineer,,Python,Продуктова,10.0,3,В Україні,Київ чи область,0
27/11/2024 13:18,Працюю full-time,1050.0,Junior,DevOps,DevOps Engineer,,JavaScript,Сервісна (аутсорсингова),2.0,5,В Україні,Дніпро чи область,0
27/11/2024 13:18,Працюю full-time,2200.0,Lead/Team Lead,Product Mgmt,Product Manager,,,Продуктова,1.5,4,В Україні,Київ чи область,0
27/11/2024 13:19,Працюю full-time,2000.0,Middle,Game design,Game Designer,,,Сервісна (аутсорсингова),4.0,5,В Україні,Київ чи область,0
27/11/2024 13:19,Працюю full-time,2000.0,Junior,Product Mgmt,Product Manager,,,Продуктова,1.5,4,В Україні,Київ чи область,0
27/11/2024 13:19,Працюю full-time,800.0,Middle,Game design,Technical Game Designer,,,Продуктова,2.0,3,В Україні,Київ чи область,0
27/11/2024 13:21,Працюю full-time,1900.0,Junior,Analyst,BA (Business Analyst),,,Сервісна (аутсорсингова),3.0,5,В Україні,Київ чи область,0
27/11/2024 13:21,Працюю full-time,500.0,Junior,SE,Software Engineer / Software Developer,Mobile розробка,Kotlin,Продуктова,0.5,4,В Україні,Харків чи область,0
27/11/2024 13:21,Я фрилансер(-ка),2100.0,Middle,DS,Data Scientist,,Python,Фриланс,2.0,5,В Україні,Львів чи область,0
27/11/2024 13:22,Працюю full-time,4900.0,Senior,SE,Software Engineer / Software Developer,Mobile розробка,Kotlin,Продуктова,10.0,5,В Україні,Київ чи область,0
27/11/2024 13:23,Працюю full-time,1000.0,Немає тайтлу,Product Mgmt,Product Manager,,,Продуктова,2.0,4,В Україні,Київ чи область,0
27/11/2024 13:24,Працюю full-time,2500.0,Middle,DevOps,DevOps Engineer,,Python,Сервісна (аутсорсингова),1.5,4,В Україні,Київ чи область,0
27/11/2024 13:24,Працюю full-time,2150.0,Middle,DevOps,DevOps Engineer,,,Аутстафінгова,3.0,4,В Україні,Чернівці чи область,0
27/11/2024 13:24,Працюю full-time,800.0,Junior,DS,Data Scientist,,Python,Продуктова,0.5,6,В Україні,Київ чи область,0
27/11/2024 13:25,Працюю full-time,2100.0,Middle,QA,Manual QA,,,Сервісна (аутсорсингова),3.0,5,В Україні,Київ чи область,0
27/11/2024 13:28,Працюю full-time,1100.0,Middle,HR,HR Business Partner,,,Сервісна (аутсорсингова),5.0,5,В Україні,Одеса чи область,0
27/11/2024 13:28,Працюю full-time,3500.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,JavaScript,Продуктова,4.0,5,В Україні,Львів чи область,0
27/11/2024 13:33,Працюю full-time,6200.0,Lead/Team Lead,,Other,,Java,Стартап,9.0,6,В Україні,Київ чи область,0
27/11/2024 13:34,Працюю full-time,1000.0,Junior,DevOps,DevOps Engineer,,,Інша,1.0,6,"За кордоном, не планую повертатися",,0
27/11/2024 13:37,Працюю full-time,4200.0,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,11.0,5,В Україні,Київ чи область,0
27/11/2024 13:37,Працюю full-time,900.0,Junior,DS,ML Engineer,,Python,Сервісна (аутсорсингова),1.5,5,В Україні,Дніпро чи область,0
27/11/2024 13:38,Працюю full-time,6500.0,Head,Brand,Head of PR,,,Продуктова,4.0,4,В Україні,Київ чи область,0
27/11/2024 13:38,Працюю full-time,1500.0,Немає тайтлу,DevOps,DevOps Engineer,,Python,Продуктова,0.5,5,В Україні,Київ чи область,0
27/11/2024 13:38,Працюю full-time,2300.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Erlang,Продуктова,5.0,3,В Україні,Полтава чи область,0
27/11/2024 13:39,Працюю full-time,3600.0,Head,HR,Head of HR,,,Продуктова,11.0,5,В Україні,Київ чи область,0
27/11/2024 13:39,Працюю full-time,4800.0,Немає тайтлу,Product Mgmt,Product Manager,,,Сервісна (аутсорсингова),6.0,6,В Україні,Київ чи область,0
27/11/2024 13:40,Працюю full-time,7500.0,Senior,DevOps,DevOps Engineer,,Python,Продуктова,7.0,5,В Україні,Київ чи область,0
27/11/2024 13:40,Працюю full-time,5300.0,CEO / C-level (Chief) / Director / VP,Tech Leadership,CTO (Chief Technology Officer) / Technical Director,,C# / .NET,Продуктова,7.0,5,"За кордоном, важко сказати, чи повернуся",,0
27/11/2024 13:40,Працюю full-time,3800.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,Аутстафінгова,4.0,5,В Україні,Львів чи область,0
27/11/2024 13:40,Працюю full-time,2000.0,Middle,HR,Recruiter / Recruitment Specialist / Technical Recruiter,,,Сервісна (аутсорсингова),2.0,4,В Україні,Львів чи область,0
27/11/2024 13:41,Працюю full-time,3500.0,Junior,DevOps,DevOps Engineer,,Python,Аутстафінгова,1.5,5,В Україні,Чернігів чи область,0
27/11/2024 13:41,Працюю full-time,2300.0,Middle,DevOps,DevOps Engineer,,Python,Сервісна (аутсорсингова),3.0,5,В Україні,Київ чи область,0
27/11/2024 13:41,Працюю full-time,4000.0,Senior,HR,HR Manager / HR specialist,,,Продуктова,12.0,6,В Україні,Київ чи область,0
27/11/2024 13:41,Працюю full-time,400.0,Intern/Trainee,Project Mgmt,Project Manager,,,Сервісна (аутсорсингова),0.5,5,В Україні,Львів чи область,0
27/11/2024 13:42,Працюю full-time,5000.0,Senior,DevOps,DevOps Engineer,,Powershell,Сервісна (аутсорсингова),6.0,4,В Україні,Київ чи область,0
27/11/2024 13:43,Працюю full-time,1200.0,Middle,Brand,Employer Brand Manager,,,Продуктова,1.5,4,В Україні,Київ чи область,0
27/11/2024 13:45,Працюю full-time,3800.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Python,Продуктова,6.0,4,"За кордоном, не планую повертатися",,0
27/11/2024 13:45,Працюю full-time,4200.0,Lead/Team Lead,Support,Customer Success Manager,,,Аутстафінгова,0.1,5,"За кордоном, не планую повертатися",,0
27/11/2024 13:45,Працюю full-time,999.0,Немає тайтлу,HR,HR Manager / HR specialist,,,Сервісна (аутсорсингова),5.0,6,В Україні,Івано-Франківськ чи область,0
27/11/2024 13:45,Працюю full-time,2420.0,Lead/Team Lead,HR,Employee Engagement Manager /Employee experience Manager,,,Сервісна (аутсорсингова),7.0,6,В Україні,Львів чи область,0
27/11/2024 13:47,Працюю full-time,2300.0,Lead/Team Lead,Artist/Animator,2D Artist,,,Продуктова,6.0,2,В Україні,Київ чи область,0
27/11/2024 13:47,Працюю part-time,500.0,Junior,DevOps,DevOps Engineer,,,Стартап,1.0,6,В Україні,Львів чи область,0
27/11/2024 13:48,Працюю full-time,2400.0,Senior,HR,HR People Partner,,,Сервісна (аутсорсингова),4.0,6,В Україні,Івано-Франківськ чи область,0
27/11/2024 13:49,Працюю full-time,3600.0,Немає тайтлу,DevOps,DevOps Engineer,,,Продуктова,1.5,5,В Україні,Київ чи область,0
27/11/2024 13:50,Працюю full-time,1500.0,Senior,Marketing,Marketing Manager,,,Продуктова,7.0,5,В Україні,Одеса чи область,0
27/11/2024 13:50,Працюю full-time,2300.0,Head,Sales,Head of Sales,,,Продуктова,3.0,4,В Україні,Київ чи область,0
27/11/2024 13:50,Працюю full-time,14000.0,Senior,DevOps,DevOps Engineer,,Python,Продуктова,12.0,5,В Україні,Житомир чи область,0
27/11/2024 13:51,Працюю full-time,1000.0,Lead/Team Lead,Marketing,Marketing Manager,,,Аутстафінгова,4.0,4,В Україні,Харків чи область,0
27/11/2024 13:53,Працюю full-time,2500.0,Senior,DevOps,DevOps Engineer,,Groovy,Сервісна (аутсорсингова),4.0,5,В Україні,Київ чи область,0
27/11/2024 13:53,Працюю full-time,3650.0,Middle,DS,Computer Vision Engineer,,Python,Продуктова,6.0,5,"За кордоном, але планую повернутися",,0
27/11/2024 13:55,Працюю full-time,1775.0,Senior,Brand,PR Manager,,,Сервісна (аутсорсингова),5.0,5,В Україні,Київ чи область,0
27/11/2024 13:57,Працюю full-time,1100.0,Junior,DevOps,DevOps Engineer,,,Сервісна (аутсорсингова),1.5,4,В Україні,Харків чи область,0
27/11/2024 13:59,Працюю full-time,655.0,Intern/Trainee,DevOps,DevOps Engineer,,Python,Сервісна (аутсорсингова),0.5,4,В Україні,Львів чи область,0
27/11/2024 14:03,Працюю full-time,1870.0,Middle,DS,ML Engineer,,Python,Сервісна (аутсорсингова),2.0,5,В Україні,Київ чи область,0
27/11/2024 14:03,Працюю full-time,900.0,Middle,Artist/Animator,Technical Artist,,,Сервісна (аутсорсингова),2.0,4,В Україні,Дніпро чи область,0
27/11/2024 14:05,Працюю full-time,2500.0,Middle,DS,Data Engineer / Big Data Engineer,,Python,Продуктова,2.0,5,В Україні,Київ чи область,0
27/11/2024 14:06,Працюю full-time,2800.0,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Python,Продуктова,3.0,5,В Україні,Львів чи область,0
27/11/2024 14:08,Працюю full-time,6000.0,Lead/Team Lead,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Сервісна (аутсорсингова),9.0,5,В Україні,Київ чи область,0
27/11/2024 14:08,Працюю full-time,1700.0,Middle,QA,General QA,,Python,Продуктова,3.0,5,В Україні,Київ чи область,0
27/11/2024 14:09,Втратив(-ла) роботу і шукаю нову,1000.0,Junior,Analyst,BA (Business Analyst),,SQL,Інша,0.1,5,В Україні,Львів чи область,0
27/11/2024 14:09,Працюю full-time,500.0,Junior,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Продуктова,0.1,4,В Україні,Київ чи область,0
27/11/2024 14:10,Працюю full-time,600.0,Junior,QA,Automation QA / AQA,,C# / .NET,Сервісна (аутсорсингова),0.1,5,В Україні,Львів чи область,0
27/11/2024 14:10,Працюю full-time,7800.0,Senior,QA,Automation QA / AQA,,Java,Сервісна (аутсорсингова),12.0,6,В Україні,Вінниця чи область,0
27/11/2024 14:10,Працюю full-time,1260.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Сервісна (аутсорсингова),3.0,5,В Україні,Львів чи область,0
27/11/2024 14:10,Працюю full-time,1500.0,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,Продуктова,1.0,4,В Україні,Ужгород чи Закарпатська область,0
27/11/2024 14:11,Працюю full-time,2000.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,Python,Продуктова,2.0,2,В Україні,Луцьк чи Волинська область,0
27/11/2024 14:11,Працюю full-time,500.0,Tech Lead,SE,Software Engineer / Software Developer,BI-розробка,Dart,Продуктова,2.0,6,"За кордоном, але планую повернутися",,0
27/11/2024 14:13,Працюю full-time,1515.0,Middle,DS,Data Scientist,,Python,Сервісна (аутсорсингова),3.0,5,В Україні,Харків чи область,0
27/11/2024 14:14,Працюю full-time,300.0,Junior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Сервісна (аутсорсингова),0.5,4,В Україні,Дніпро чи область,0
27/11/2024 14:15,Працюю full-time,3250.0,Middle,Product Mgmt,Product Manager,,,Продуктова,4.0,5,В Україні,Львів чи область,0
27/11/2024 14:17,Працюю full-time,5000.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,PHP,Продуктова,9.0,5,В Україні,Львів чи область,0
27/11/2024 14:19,Працюю full-time,1100.0,Middle,Support,Customer Support,,,Продуктова,3.0,4,В Україні,Київ чи область,0
27/11/2024 14:20,Працюю full-time,1650.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Стартап,1.5,5,В Україні,Київ чи область,0
27/11/2024 14:20,Працюю full-time,2500.0,Middle,Analyst,BA (Business Analyst),,,Продуктова,2.0,5,"За кордоном, важко сказати, чи повернуся",,0
27/11/2024 14:21,Працюю full-time,4000.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,PHP,Продуктова,11.0,6,В Україні,Львів чи область,0
27/11/2024 14:21,Працюю full-time,2500.0,Middle,Product Mgmt,Product Manager,,,Продуктова,1.5,5,В Україні,Київ чи область,0
27/11/2024 14:22,Працюю full-time,600.0,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,JavaScript,Інша,3.0,5,В Україні,Інше,0
27/11/2024 14:22,Працюю full-time,1200.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,Продуктова,4.0,4,В Україні,Чернівці чи область,0
27/11/2024 14:23,Працюю full-time,1400.0,Middle,QA,Automation QA / AQA,,Java,Сервісна (аутсорсингова),3.0,4,"За кордоном, але планую повернутися",,0
27/11/2024 14:24,Працюю full-time,550.0,Junior,Brand,Content Manager / Content Marketing Manager,,,Сервісна (аутсорсингова),1.0,5,В Україні,Київ чи область,0
27/11/2024 14:24,Працюю part-time,300.0,Junior,QA,General QA,,,Продуктова,1.0,5,"За кордоном, важко сказати, чи повернуся",,0
27/11/2024 14:27,Працюю full-time,500.0,Junior,QA,Manual QA,,,Продуктова,1.0,3,В Україні,Івано-Франківськ чи область,0
27/11/2024 14:29,Працюю full-time,3000.0,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,TypeScript,Аутстафінгова,4.0,6,В Україні,Київ чи область,0
